danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity,number_of_artists,explicit,emotion,ambient,anime,bluegrass,blues,classical,comedy,country,dancehall,disco,edm,emo,folk,forro,funk,grunge,hardcore,house,industrial,j-pop,j-rock,jazz,metal,metalcore,opera,pop,punk,reggaeton,rock,rockabilly,ska,sleep,soul
0.474,0.742,-5.019,0.0294,0.285,0.0,0.143,0.508,145.968,209013.0,46.0,1.0,False,3,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.738,0.868,-4.15,0.0348,0.0371,0.0,0.294,0.199,130.003,252933.0,53.0,2.0,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
0.719,0.616,-3.951,0.0395,0.00683,3.11e-05,0.0742,0.625,124.963,200880.0,57.0,2.0,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
0.592,0.432,-10.356,0.0421,0.328,6.11e-06,0.0646,0.835,82.547,265629.0,0.0,1.0,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0.758,0.655,-11.661,0.0292,0.0379,0.0,0.0795,0.767,127.141,198440.0,59.0,1.0,False,2,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.726,0.565,-10.355,0.033,0.21,0.0,0.0941,0.849,149.004,185373.0,58.0,1.0,False,2,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.577,0.384,-11.897,0.0436,0.314,0.0,0.0809,0.102,139.609,217714.0,49.0,1.0,False,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
0.607,0.74,-5.309,0.0418,0.0812,0.0,0.117,0.272,92.961,231266.0,0.0,1.0,False,2,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.73,0.68,-4.886,0.0344,0.324,3.79e-06,0.121,0.452,109.573,221560.0,51.0,1.0,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.874,0.712,-5.667,0.0315,0.0283,0.0887,0.0824,0.585,106.021,216635.0,45.0,3.0,True,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
0.623,0.947,-3.347,0.25,0.00598,0.788,0.279,0.457,164.029,214137.0,40.0,2.0,False,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.814,0.743,-2.968,0.159,0.152,0.0,0.163,0.367,107.996,214586.0,61.0,2.0,True,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
0.931,0.387,-9.127,0.412,0.088,0.0,0.136,0.376,125.978,179404.0,0.0,3.0,True,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
0.709,0.638,-4.3,0.0405,0.0649,0.0,0.0969,0.468,141.994,244133.0,0.0,3.0,True,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
0.589,0.658,-5.288,0.203,0.0242,0.0,0.118,0.251,77.521,223973.0,69.0,3.0,True,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
0.722,0.565,-5.848,0.0335,0.435,0.0,0.165,0.488,104.483,185657.0,72.0,1.0,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
0.682,0.694,-5.866,0.0391,0.232,1.5e-05,0.0736,0.237,101.983,186569.0,0.0,1.0,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
0.363,0.735,-3.857,0.0428,0.0014,0.000119,0.13,0.0721,145.556,295890.0,51.0,3.0,False,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.687,0.588,-8.861,0.0374,0.00104,0.00244,0.124,0.407,114.874,159788.0,55.0,2.0,False,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.804,0.895,-5.853,0.0351,0.00204,6.4e-06,0.264,0.835,119.968,168096.0,0.0,3.0,False,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.429,0.971,-3.568,0.0738,0.0223,0.00106,0.365,0.559,93.724,322226.0,49.0,1.0,False,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0.707,0.656,-9.279,0.173,0.743,0.0,0.172,0.748,118.037,210320.0,73.0,5.0,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
0.705,0.784,-4.351,0.0279,0.211,4.3e-06,0.0813,0.418,104.98,228573.0,60.0,1.0,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
0.552,0.643,-14.523,0.14,0.144,0.0027,0.0878,0.763,136.764,506720.0,61.0,1.0,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0.429,0.093,-15.944,0.0433,0.882,0.00703,0.111,0.208,129.661,293973.0,59.0,1.0,False,3,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.551,0.598,-6.79,0.27,0.15,0.0,0.299,0.612,78.756,230613.0,61.0,2.0,True,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
0.885,0.543,-6.338,0.2,0.0311,0.0,0.154,0.43,99.026,195991.0,59.0,2.0,True,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
0.706,0.679,-5.614,0.0324,0.139,6.98e-05,0.465,0.657,140.081,158706.0,65.0,2.0,True,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
0.888,0.525,-5.665,0.305,0.029,5.68e-06,0.137,0.243,133.983,143791.0,64.0,1.0,True,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
0.878,0.933,-3.093,0.277,0.126,0.0,0.531,0.601,154.006,172987.0,56.0,4.0,True,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
0.799,0.699,-7.694,0.204,0.00867,0.0,0.132,0.627,142.979,214850.0,60.0,1.0,True,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
0.273,0.988,-2.934,0.471,6.96e-05,0.0115,0.0891,0.156,110.051,299106.0,56.0,1.0,False,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0.207,0.863,-5.379,0.102,0.00498,1.95e-06,0.382,0.47,75.48,243733.0,40.0,1.0,False,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0.122,0.95,-3.803,0.0946,2.62e-06,0.144,0.108,0.257,165.863,266866.0,43.0,1.0,True,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0.381,0.905,-5.05,0.0676,0.000107,0.43,0.211,0.396,142.545,217920.0,49.0,1.0,False,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0.703,0.918,-3.476,0.0743,0.00856,0.176,0.117,0.455,98.388,285306.0,39.0,1.0,False,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.476,0.954,-5.648,0.0514,0.05,0.153,0.224,0.416,106.29,242493.0,27.0,1.0,False,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0.348,0.937,-5.414,0.0689,0.0493,0.383,0.667,0.326,112.505,308720.0,6.0,1.0,False,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0.73,0.907,-4.478,0.0727,0.000111,0.00816,0.266,0.573,116.016,163066.0,57.0,1.0,True,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0.559,0.876,-6.479,0.0495,0.0474,0.0,0.0734,0.4,95.07,210186.0,48.0,1.0,False,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0.433,0.879,-5.395,0.067,0.0168,0.0,0.0688,0.536,79.982,204480.0,41.0,1.0,False,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0.154,0.976,-3.41,0.246,0.000533,5.65e-05,0.317,0.256,200.022,209949.0,0.0,1.0,True,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
0.56,0.928,-4.594,0.0559,0.00144,0.00295,0.318,0.615,115.204,217893.0,48.0,1.0,False,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0.38,0.956,-2.44,0.0796,0.0053,0.0,0.116,0.632,83.622,234380.0,0.0,1.0,False,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
0.317,0.931,-5.794,0.0576,6.26e-05,0.653,0.878,0.248,113.007,360360.0,37.0,1.0,False,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0.283,0.745,-5.658,0.0782,0.000713,0.0883,0.983,0.438,69.417,348573.0,37.0,1.0,False,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0.468,0.826,-3.701,0.0295,0.000858,5.01e-06,0.104,0.359,102.817,240333.0,54.0,1.0,False,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0.498,0.841,-5.943,0.0341,0.000752,0.00951,0.115,0.305,110.055,388106.0,35.0,1.0,True,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
0.512,0.857,-5.141,0.0484,0.0144,5.11e-06,0.146,0.823,190.116,174973.0,0.0,2.0,False,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.438,0.537,-7.301,0.0337,0.509,0.0,0.361,0.187,96.301,277226.0,30.0,1.0,False,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0.373,0.869,-7.719,0.0554,0.164,7.76e-06,0.605,0.696,184.024,221400.0,62.0,1.0,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0.32,0.943,-5.789,0.126,0.00497,0.192,0.0984,0.49,166.524,178293.0,48.0,1.0,True,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0.512,0.947,-5.659,0.0401,0.000692,0.114,0.0283,0.612,117.461,256933.0,64.0,1.0,False,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0.394,0.8,-4.17,0.0413,0.0266,0.0,0.184,0.525,162.053,185413.0,0.0,1.0,False,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.472,0.671,-6.18,0.0338,0.0409,0.0,0.0997,0.403,141.986,231666.0,0.0,1.0,False,2,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.446,0.741,-5.874,0.0396,0.00829,0.0,0.158,0.636,152.131,211680.0,0.0,1.0,False,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.431,0.747,-5.31,0.0363,0.00837,0.0,0.0803,0.732,175.971,185000.0,0.0,1.0,False,2,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.516,0.821,-5.899,0.0524,0.00393,1.48e-06,0.0968,0.537,92.977,199706.0,0.0,1.0,False,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.502,0.74,-4.553,0.0461,0.336,0.000395,0.251,0.74,165.907,197933.0,0.0,1.0,False,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.659,0.904,-3.81,0.0675,0.105,0.0,0.276,0.666,122.936,215280.0,26.0,1.0,False,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.64,0.822,-4.954,0.041,0.42,0.000435,0.144,0.395,141.054,199773.0,60.0,1.0,False,3,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.499,0.708,-7.029,0.0301,0.00626,1.15e-05,0.0423,0.617,158.785,203066.0,52.0,1.0,False,2,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.654,0.901,-6.401,0.0477,0.00446,4.68e-06,0.057,0.73,138.879,212426.0,41.0,1.0,False,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.485,0.894,-4.176,0.0383,0.000492,0.0,0.0875,0.673,75.028,178189.0,0.0,1.0,False,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.577,0.731,-6.117,0.0384,0.434,5.23e-06,0.108,0.57,92.569,190986.0,39.0,1.0,False,2,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.837,0.583,-7.231,0.0367,0.00784,0.0,0.0637,0.965,106.961,195426.0,42.0,2.0,False,2,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.465,0.873,-4.22,0.0432,0.127,1.33e-05,0.236,0.676,160.083,183853.0,36.0,1.0,False,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.472,0.903,-4.678,0.0471,0.118,1.91e-06,0.13,0.313,79.964,208506.0,30.0,1.0,False,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.517,0.702,-4.573,0.0289,0.202,2e-06,0.185,0.495,75.955,213720.0,0.0,1.0,False,3,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.462,0.823,-5.627,0.0382,0.0312,1.14e-05,0.0828,0.42,147.913,230573.0,0.0,1.0,False,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.492,0.888,-4.112,0.0672,0.0244,2.54e-06,0.412,0.671,141.049,212733.0,39.0,1.0,False,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.466,0.855,-5.225,0.043,0.0108,0.00026,0.229,0.514,143.763,369320.0,38.0,1.0,False,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.619,0.446,-13.645,0.0321,0.146,0.0,0.212,0.622,100.026,250826.0,24.0,1.0,False,2,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.673,0.454,-12.814,0.031,0.112,0.0,0.11,0.375,98.962,222666.0,24.0,1.0,False,2,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.577,0.559,-13.022,0.0584,0.0791,0.0,0.0843,0.5,165.952,193120.0,23.0,1.0,False,2,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.52,0.842,-4.433,0.033,0.0793,0.0,0.107,0.367,137.964,210200.0,47.0,1.0,False,2,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.412,0.964,-3.744,0.0503,0.0523,0.00106,0.392,0.462,162.011,210306.0,38.0,1.0,False,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.5,0.928,-3.886,0.0412,0.000553,1.53e-05,0.0849,0.767,135.058,186040.0,41.0,1.0,False,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.49,0.9,-6.182,0.0726,0.161,0.0,0.97,0.5,129.096,216897.0,5.0,2.0,False,2,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.52,0.776,-4.787,0.0339,0.0293,0.0,0.106,0.502,144.992,217853.0,42.0,1.0,False,2,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.562,0.772,-4.068,0.0362,0.0932,0.0,0.0873,0.77,148.126,194226.0,48.0,1.0,False,2,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.663,0.884,-4.562,0.0297,0.00245,2.05e-06,0.0977,0.919,117.004,234360.0,49.0,1.0,False,2,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.588,0.904,-4.121,0.047,0.00364,4.04e-06,0.0627,0.551,108.018,198573.0,34.0,1.0,False,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.59,0.933,-3.511,0.0767,0.0139,0.0,0.335,0.644,119.996,197973.0,42.0,1.0,False,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.456,0.96,-2.777,0.0954,0.0149,0.0,0.337,0.508,153.947,171866.0,33.0,1.0,False,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.718,0.775,-5.18,0.0387,0.0063,0.154,0.0815,0.883,116.994,203093.0,32.0,1.0,False,2,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.465,0.898,-5.324,0.0412,0.045,0.00011,0.368,0.698,169.899,208466.0,32.0,1.0,False,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.551,0.61,-5.573,0.0276,0.0058,6.41e-06,0.172,0.462,140.157,289120.0,28.0,1.0,False,2,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.519,0.97,-4.469,0.0422,0.00031,0.0,0.104,0.774,151.984,190292.0,0.0,1.0,False,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.464,0.875,-3.924,0.0312,0.00324,0.0,0.29,0.646,156.066,223353.0,0.0,1.0,False,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.469,0.909,-4.882,0.0824,0.00174,1.8e-05,0.683,0.385,156.108,209300.0,0.0,1.0,False,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
